case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,topology_violations,append_s
lot_1850,1688,2656,190,190,0.2438886709860526,0.0667776059708558,242356,190,190,190,1375.17578125,530d91a78e4c904fc60d27f29a68b4b5cea5d8ddeefb25301c6383d3032242c4,"[[23.4206, 40.6551, 0.0], [33.168958765, 51.167676262, 6.775]]",0,0.013380979013163596
lot_1977,998,1616,104,104,0.15885901503497735,0.02549164299853146,139920,104,104,104,1375.17578125,2d6e682f4cfee07ba7975de2ff38f701abf6d34d2111fc842b8476d312ccdd59,"[[17.8895, 45.0926, 0.0], [29.585049407, 57.2798, 3.468]]",0,0.01896626898087561
lot_1851,3208,5040,363,363,0.5369487819843926,0.0832815479952842,451372,363,363,363,1375.17578125,46b2e75ac07ffa07b55343b94f68e284a1fcd7ed07171e6a718c426373a131ff,"[[28.5769, 30.5927, 0.0], [46.0766, 48.369539819, 12.902000000000001]]",0,0.043210481002461165
lot_1976,3880,6116,434,434,0.5572582709719427,0.10195259796455503,547496,434,434,434,1375.17578125,3723fb5e6eb74fd00c74ba34fd115b6c945650f3adc05769baa4c331d2827f31,"[[31.596322036, 43.8425, 0.0], [46.588016901, 59.4959119, 6.634]]",0,0.0974387900205329
lot_1975,4616,7868,374,374,0.5735098560107872,0.11249551101354882,453840,374,374,374,1375.17578125,864433043d6eef9e2f5d5d37eeaa64719f88f045de338e172afd7d77012a0f80,"[[23.7019, 52.374734981, 0.0], [36.42918997, 66.405803289, 9.271]]",0,0.12639496999327093
lot_1831,3110,4840,366,366,0.4500751970335841,0.0824493810068816,463796,366,366,366,1375.17578125,02ec3fc47cda0c344445741a489ec4d855b8318ced4767a2016a56685d5b0ca2,"[[11.206924278, 49.8425, 0.0], [23.7019, 62.728716415, 9.292]]",0,0.11513466999167576
lot_1980,2164,3372,249,249,0.3206210070056841,0.07310903898905963,313392,249,249,249,1375.17578125,dd6d9b0a61ffa507633c7436d5ffc940ca3611098b4d39625c095ad561cf0d6f,"[[39.3267, 38.0302, 0.0], [53.386220849, 53.1199085, 6.346]]",0,0.13198114599799737
lot_1973,1520,2488,153,153,0.22204460302600637,0.035630898957606405,197188,153,153,153,1375.17578125,fca849ccce354e7849ea00662a07d85defb662c1189f2b4c536e22ad98a5d5f7,"[[17.625133618, 57.2798, 0.0], [30.995308862, 71.183304893, 3.522]]",0,0.1626782840467058
lot_1849,5538,8736,628,628,0.8147493840078823,0.16000274999532849,781748,628,628,628,1375.17578125,4cd68c34340834f70777b6d1d37eaea117ed0169dd23b4c9e453e9686045e198,"[[-0.947787486, -9.2191, 0.0], [58.9515, 55.547803523, 6.216]]",0,0.20893887797137722
lot_1832,3568,5540,415,415,0.5020041620009579,0.10904428199864924,511084,415,415,415,1375.17578125,6d10a0ca971ca7aa97e39d9d120f32c4979eab12429fdd81073a00e899cda3ef,"[[40.2642, 24.6553, 0.0], [60.792019106, 47.266410001, 9.68]]",0,0.2348446139949374
lot_1983,4824,7428,571,571,0.6924363499856554,0.12753124599112198,702308,571,571,571,1375.17578125,89b3df9e6d8400df253945d11f22b8169fa81ed67d5f32c1b5b41d919c7e75ac,"[[-6.292065111, 19.2803, 0.0], [18.827, 41.218289709, 12.948]]",0,0.2700128079741262
lot_1984,2758,4232,334,334,0.46414156001992524,0.07818433101056144,404560,334,334,334,1375.17578125,a6c3738ba19b1bc069177eddf419e9a21212ea31c04238aa9f504c4be3f51db6,"[[47.1704, 21.718, 0.0], [64.077819095, 40.768563815, 15.426]]",0,0.28791652200743556
lot_1989,1622,2592,172,172,0.2621544820140116,0.04457046004245058,223148,172,172,172,1375.17578125,2fcbff31c27101b7fd50c74c479ef6900c57b29c951d59f33583e2051280ce0a,"[[-11.850466636, 11.468, 0.0], [17.9521, 34.695387933, 3.598]]",0,0.32111087295925245
lot_1987,5998,10160,502,502,0.7129449950298294,0.13283422501990572,588324,502,502,502,1375.17578125,f8d61390c405475c1af7041f9fdca02769203d241b5a5903a6bcae539b54cd27,"[[50.5766, 12.9055, 0.0], [75.155821341, 37.819250332, 12.120000000000001]]",0,0.36511469999095425
lot_2000,4102,6832,370,370,0.5150692490278743,0.08519845799310133,441024,370,370,370,1375.17578125,7a0135f4129b1c672caafb35ca00b9b699a6ad54ef258dde1be1b3dcfc882a82,"[[-2.561010394, -2.724528144, 0.0], [15.4521, 16.1553, 12.545]]",0,0.4062270159483887
lot_1993,2430,3788,285,285,0.4290566869894974,0.07254314603051171,364364,285,285,285,1375.17578125,8dfc11c4b7c73bf8d9548e3544e36b8050e7262b65dbd3a79f567bfd9f355539,"[[-17.08138583, 14.2804, 0.0], [-2.5789999999999997, 28.388005337, 8.969]]",0,0.4083503430010751
lot_1997,3148,4972,357,357,0.5070088219945319,0.09618116199271753,469988,357,357,357,1375.17578125,1ebaece50625cb2c90456dd383952414c01f12d70d8ba7364e528343a67d548e,"[[-20.330890279, 2.743706006, 0.0], [8.6396, 22.590200462, 3.441]]",0,0.44618339400039986
lot_2002,3982,6320,456,456,0.6505083130323328,0.10590792202856392,578040,456,456,456,1375.17578125,4079f062567e29eb9d5db99bc5f1a638ec8169f9b54f03f7fe0449aabbf3c860,"[[4.196709731, -14.513470732, 0.0], [29.4831, 10.343, 9.671000000000001]]",0,0.4631391009897925
lot_1992,1456,2408,137,137,0.2329402599716559,0.0373185119824484,170092,137,137,137,1375.17578125,d1c586503f6e4673ed50097926c580dfddcb77ab62202d48ed4b436279a0bec8,"[[67.0451, 15.2181, 0.0], [79.250124215, 28.258347857, 6.437]]",0,0.5724988710135221
lot_1999,5224,8888,429,429,0.6755100680165924,0.12160374200902879,508372,429,429,429,1375.17578125,74165daa532f5c06a19f81b9493a03d22bf871d9b9923045031d5c8b8d6c9e12,"[[46.1705, -16.506202967, 0.0], [83.618774514, 18.968, 6.598]]",0,0.49081118998583406
