case,vertices,triangles,components,parts,generation_s,export_s,glb_bytes,nodes,meshes,primitives,peak_rss_mb,architecture_sha256,bounds,append_s
lot_2454,4146,7964,89,89,0.9839066499844193,0.03761812095763162,317296,89,89,93,243.4921875,ae2341c56749f9679c7915e3f801f90ce9fc0e73f2a68b81b4e683261a5938b2,"[[63.58131631110905, 47.97849683262128, 0.0], [75.2512, 60.7179, 6.6290000000000004]]",1.0643148919916712
lot_2453,10728,19944,399,399,2.29355859401403,0.12798481399659067,982928,399,399,405,244.984375,bad7251c38148e9bfd853d05d47534ac8a6eac00628bfe9bfbdb65563745c727,"[[56.6081550264728, 50.10466083614613, 0.0], [72.3612, 66.50900000000733, 9.19]]",1.0090789110399783
lot_2452,8300,15422,313,313,1.6639346640440635,0.11204641702352092,754276,313,313,320,248.7578125,9f8234337a509bf9f69df4c2ddc675f4f39433aa80e485aef4135a6694a004fe,"[[47.67949279749333, 56.16341659841958, 0.0], [65.85133524428873, 74.45460000022499, 6.268000000000001]]",1.0270226320135407
lot_2451,28458,50552,1682,1682,7.306584105012007,0.5179610279737972,3066236,1682,1682,1686,253.359375,aaaf10f2107fe78460e043e94171b76e16929d194cebbf28947e3ef8a9c6b9d8,"[[31.43013656184248, 63.802566829506134, 0.0], [56.7102, 88.84591969409173, 11.966000000000001]]",1.1569008370279334
lot_1826,9484,17566,381,381,1.6559182630153373,0.12341836804989725,757952,381,381,383,272.296875,a30b78435dd5bcdc96bf9a6681f43931a3733781c84e6d04f2ba38596fa13190,"[[55.69289335791809, -54.36967393123375, 0.0], [86.1008, -21.602660375358163, 3.614]]",1.2171023489790969
lot_2020,8268,15740,218,218,1.653439715038985,0.07522508304100484,607712,218,218,221,277.5546875,84aa9f3233dd2068549c3e5f15ff9227753386d04b7bb5eb0e7e2031241631c5,"[[2.3455, -44.8513, 0.0], [22.872782533950748, -23.961072728125373, 6.173]]",1.2317307679913938
lot_1856,4582,8836,89,89,1.012350024015177,0.03708678000839427,343752,89,89,93,280.75390625,1d209944af8e057a5aca90913422244b6a3da3ff779e53c481beb61a6c69bd03,"[[94.70900804826444, -10.465900000032715, 0.0], [109.0066, 2.779791329023777, 6.796]]",1.2565591990132816
lot_1833,4418,8564,75,75,1.0708559649647214,0.05256779305636883,315792,75,75,78,282.83203125,abb5c1e6f128b9488a6fa7a7181ecfb7ef7b30471adbd63f18dce0d77efe9ba3,"[[91.97079255994699, -13.715900000223922, 0.0], [106.3193, -0.6617613039313719, 6.44]]",1.3317027279990725
lot_2012,6706,13034,103,103,1.6707502910285257,0.057929813978262246,486668,103,103,106,284.203125,75638992d28b131953447db1cab2ba925119fcc5d9010c2d3a2ff2e76f64c654,"[[89.27149265825727, -16.965800000028107, 0.0], [103.56930000025471, -4.024661189530374, 9.562000000000001]]",1.2889027490164153
lot_1825,5836,10946,192,192,1.3173486960004084,0.07513017498422414,512556,192,192,196,285.6015625,6d7b11fd1e42b9a4b1edef726da8ab1fdf20d01e5f5c65769fe128802945d19d,"[[84.92451379350365, -21.7157, 0.0], [100.85050000012134, -6.866547336230017, 6.814]]",1.3270680740242824
